Number,TA_1_ID,TA_2_ID,TA 1 - Q1 Grade,TA 1 - Q2 Grade,TA 1 - Q3 Grade,TA 1 - Total Grade,TA 2 - Q1 Grade,TA 2 - Q2 Grade,TA 2 - Q3 Grade,TA 2 - Total Grade,Average Grade
777,TA_34,TA_35,18.5,10.0,2.5,31.0,13.5,12.0,3.0,28.5,29.75
778,TA_34,TA_35,20.0,14.0,14.0,48.0,20.5,14.0,18.0,52.5,50.25
779,TA_34,TA_35,12.5,14.0,22.0,48.5,18.5,13.5,19.0,51.0,49.75
780,TA_34,TA_35,13.5,7.5,10.5,31.5,5.5,14.0,4.0,23.5,27.5
781,TA_34,TA_35,14.5,8.0,11.0,33.5,13.0,11.5,13.0,37.5,35.5
782,TA_34,TA_35,22.5,9.5,10.5,42.5,14.0,8.5,7.5,30.0,36.25
783,TA_34,TA_35,21.0,16.0,13.0,50.0,16.0,14.0,2.0,32.0,41.0
784,TA_34,TA_35,23.5,14.5,18.5,56.5,17.0,14.0,14.0,45.0,50.75
785,TA_34,TA_35,16.0,12.0,16.0,44.0,6.0,13.0,6.0,25.0,34.5
786,TA_34,TA_35,23.5,16.0,21.0,60.5,20.5,14.0,19.0,53.5,57.0
787,TA_34,TA_35,25.0,5.0,17.0,47.0,18.0,2.0,13.0,33.0,40.0
788,TA_34,TA_35,24.0,13.0,19.0,56.0,17.0,0.0,1.0,18.0,37.0
789,TA_34,TA_35,13.5,12.5,14.5,40.5,7.0,13.0,15.5,35.5,38.0
790,TA_34,TA_35,26.0,15.5,19.5,61.0,23.0,16.0,22.0,61.0,61.0
791,TA_36,TA_37,12.0,9.5,3.5,25.0,14.0,10.0,8.0,32.0,28.5
792,TA_36,TA_37,5.0,6.0,5.0,16.0,11.0,5.0,7.5,23.5,19.75
793,TA_36,TA_37,8.5,8.0,8.0,24.5,14.5,9.5,13.0,37.0,30.75
794,TA_36,TA_37,13.0,8.5,8.5,30.0,14.0,12.5,10.0,36.5,33.25
795,TA_36,TA_37,7.5,9.0,14.5,31.0,9.0,10.0,12.0,31.0,31.0
796,TA_36,TA_37,10.0,0.0,0.0,10.0,8.0,0.0,0.0,8.0,9.0
797,TA_36,TA_37,9.0,8.0,9.5,26.5,10.0,9.0,11.0,30.0,28.25
798,TA_36,TA_37,8.0,1.5,5.5,15.0,11.0,1.0,4.0,16.0,15.5
799,TA_36,TA_37,11.0,11.5,13.0,35.5,11.0,12.0,13.0,36.0,35.75
800,TA_36,TA_37,15.0,9.0,3.5,27.5,20.0,10.0,6.0,36.0,31.75
801,TA_36,TA_37,17.5,11.0,18.75,47.25,18.0,12.0,18.0,48.0,47.625
802,TA_36,TA_37,15.5,12.0,17.0,44.5,20.5,14.0,15.5,50.0,47.25
803,TA_36,TA_37,1.5,2.5,0.5,4.5,2.0,5.0,0.5,7.5,6.0
804,TA_36,TA_37,13.0,14.0,4.5,31.5,12.0,14.0,5.5,31.5,31.5
805,TA_36,TA_37,14.0,10.5,8.5,33.0,16.0,11.5,10.5,38.0,35.5
806,TA_36,TA_37,17.5,8.0,18.0,43.5,18.0,7.5,17.0,42.5,43.0
807,TA_36,TA_37,18.0,17.0,4.5,39.5,18.0,17.0,7.0,42.0,40.75
808,TA_36,TA_37,9.0,7.0,7.0,23.0,13.0,9.5,13.0,35.5,29.25
809,TA_36,TA_37,8.0,8.5,5.0,21.5,10.5,10.0,8.0,28.5,25.0
810,TA_36,TA_37,11.5,10.0,4.0,25.5,13.0,10.5,5.0,28.5,27.0
811,TA_36,TA_37,9.0,9.0,0.0,18.0,10.5,10.0,0.0,20.5,19.25
812,TA_36,TA_37,10.5,5.0,0.0,15.5,14.0,6.0,0.0,20.0,17.75
813,TA_36,TA_37,8.5,0.0,0.0,8.5,10.0,0.0,0.0,10.0,9.25
