run_id,source,model,use_solution,use_guidelines,use_reasoning,use_breakdown,strictness,temperature,runs,few_shot,n_graded,n_valid_vs_TA,mean_total_score,std_total_score,MAE_vs_TA_avg,MAE_CI95_lo,MAE_CI95_hi,bias_vs_TA_avg,zero_rate,AI_TA_pearson_r,behaviour,n_failed,Q1_MAE_vs_TA,Q2_MAE_vs_TA,Q3_MAE_vs_TA,Q1_mean,Q2_mean,Q3_mean,Q4_mean
L-A07,local,qwen2.5-coder-7b,1,1,0,1,neutral,0.0,1,0,570,570,21.199122807017545,5.531845743611563,5.675657894736842,5.3905559210526315,5.978053728070175,-4.836008771929824,0.0,0.7613186646573701,graded,0,2.069736842105263,2.5180701754385963,2.330043859649123,7.78859649122807,6.3350877192982455,7.075438596491228,0.0
L-A14,local,qwen2.5-coder-14b,1,1,0,1,neutral,0.0,1,0,570,570,24.878947368421052,6.866431854463261,3.5103947368421053,3.2982839912280704,3.7387708333333327,-1.156184210526316,0.010526315789473684,0.8159846821419843,graded,6,1.813421052631579,1.7403508771929825,1.7538157894736843,9.685087719298245,7.406140350877193,7.787719298245614,0.0
L-A30M,local,qwen3-coder-30b-a3b,1,1,0,1,neutral,0.0,1,0,570,570,23.33421052631579,3.9945223686747964,4.4975,4.287792763157895,4.718519736842105,-2.700921052631579,0.0017543859649122807,0.8443113685909357,graded,1,1.8064912280701755,1.5764912280701753,2.1339912280701756,8.19122807017544,7.508771929824562,7.63421052631579,0.0
L-A32,local,qwen2.5-coder-32b,1,1,0,1,neutral,0.0,1,0,570,570,18.687719298245614,5.091157439001024,7.4923245614035086,7.1900866228070175,7.779294956140351,-7.347412280701754,0.0035087719298245615,0.855779143707641,graded,2,2.562456140350877,2.5010526315789474,2.879078947368421,6.462280701754386,6.279824561403509,5.945614035087719,0.0
L-ANxt,local,qwen3-coder-next,1,1,0,1,neutral,0.0,1,0,570,570,21.294736842105262,6.054016402810155,5.170833333333333,4.924109649122808,5.422108552631578,-4.740394736842105,0.0017543859649122807,0.864715924004767,graded,1,1.8173684210526317,2.921140350877193,1.536359649122807,7.520175438596492,5.823684210526316,7.950877192982456,0.0
L-B01,local,qwen2.5-coder-32b,0,1,0,1,neutral,0.0,1,0,570,570,24.474561403508773,6.2432925189270785,3.1188157894736843,2.9226282894736846,3.305702850877193,-1.5605701754385966,0.0017543859649122807,0.8735955602787906,graded,1,1.3864035087719297,1.4150877192982456,1.5260087719298245,8.28859649122807,8.108771929824561,8.07719298245614,0.0
L-B02,local,qwen2.5-coder-32b,1,0,0,1,neutral,0.0,1,0,570,570,20.57280701754386,5.090262337608939,5.856622807017543,5.600842105263158,6.113783991228071,-5.462324561403508,0.0,0.86470768357031,graded,0,2.237719298245614,2.0322807017543862,2.211447368421053,6.9412280701754385,6.803508771929825,6.828070175438596,0.0
L-B03,local,qwen2.5-coder-32b,1,1,1,1,neutral,0.0,1,0,570,570,18.673684210526314,5.089757671188271,7.514254385964913,7.21716557017544,7.801411184210525,-7.361447368421052,0.0035087719298245615,0.8550543539790257,graded,2,2.5681578947368418,2.5271052631578943,2.8667982456140346,6.4640350877192985,6.255263157894737,5.954385964912281,0.0
L-B04,local,qwen2.5-coder-32b,1,1,0,0,neutral,0.0,1,0,570,570,18.92105263157895,5.421665735450815,7.270394736842105,6.9750263157894725,7.54857894736842,-7.11407894736842,0.0035087719298245615,0.8522841531162106,graded,2,2.544561403508772,2.3198245614035087,2.852675438596491,6.507894736842105,6.472807017543859,5.940350877192983,0.0
L-BD01,local,qwen2.5-coder-32b,1,1,0,0,neutral,0.0,1,0,570,570,18.808771929824562,5.410910695295386,7.357061403508771,7.060765350877193,7.64452850877193,-7.226359649122807,0.0035087719298245615,0.852840671727219,graded,2,2.5844736842105265,2.2409649122807016,2.9457456140350873,6.435087719298245,6.55,5.823684210526316,0.0
L-BD02,local,qwen2.5-coder-32b,1,1,0,0,strict,0.0,1,0,570,570,4.355263157894737,4.514925299256566,21.686885964912282,21.164375,22.225609649122806,-21.679868421052635,0.33157894736842103,0.4695233164928725,collapse,189,8.030614035087721,5.865087719298247,7.802149122807018,0.769298245614035,2.8421052631578947,0.743859649122807,0.0
L-BD03,local,llama-3.3-70b,1,1,0,0,neutral,0.0,1,0,570,570,22.071929824561405,5.578809215433171,4.687587719298246,4.463540570175439,4.915067982456141,-3.963201754385964,0.007017543859649123,0.8601498215664488,graded,4,2.039561403508772,1.5328070175438597,2.0547807017543858,7.321052631578947,7.521052631578947,7.229824561403508,0.0
L-BD04,local,llama-3.3-70b,1,1,0,0,strict,0.0,1,0,570,570,6.092105263157895,6.812956032518245,19.943026315789478,19.42502192982456,20.5050197368421,-19.943026315789478,0.45964912280701753,0.5533537659777722,collapse,262,8.00605263157895,6.235701754385966,5.764166666666666,0.7894736842105263,2.486842105263158,2.8157894736842106,0.0
L-BD05,local,deepseek-coder-v2-lite,1,1,0,0,neutral,0.0,1,0,570,570,21.003508771929823,2.460761660152721,6.829342105263158,6.511256578947368,7.171415570175438,-5.031622807017543,0.0,0.606094776084868,graded,0,2.6416666666666666,2.8051754385964913,2.8133771929824563,7.340350877192982,6.319298245614035,7.343859649122807,0.0
L-BD06,local,deepseek-coder-v2-lite,1,1,0,0,strict,0.0,1,0,570,570,10.04561403508772,3.3874870631437277,16.018026315789477,15.553144736842102,16.49116447368421,-15.989517543859652,0.0035087719298245615,0.6043367179443737,collapse,2,5.050263157894737,5.707631578947369,5.434342105263157,3.787719298245614,3.0526315789473686,3.205263157894737,0.0
L-BD07,local,glm-4-32b,1,1,0,0,neutral,0.0,1,0,570,570,26.733333333333334,6.375958064631929,2.6759210526315793,2.4914287280701757,2.8755592105263155,0.6982017543859649,0.0017543859649122807,0.8781679468264486,graded,1,1.4065789473684212,1.3098245614035087,1.2905701754385965,9.112280701754386,8.666666666666666,8.95438596491228,0.0
L-BD08,local,glm-4-32b,1,1,0,0,strict,0.0,1,0,570,570,10.578947368421053,10.141004772722892,15.581973684210526,14.985365131578945,16.204737938596494,-15.456184210526319,0.32105263157894737,0.6431710611820249,collapse,183,7.277543859649122,5.450877192982456,3.7104824561403507,1.5956140350877193,3.8684210526315788,5.114912280701755,0.0
L-BD09,local,gemma-3-27b,1,1,0,0,neutral,0.0,1,0,570,570,24.39078947368421,3.7547308517800633,4.322675438596492,4.111833333333333,4.555883771929825,-1.6443421052631577,0.0,0.8106732838555704,graded,0,1.9669298245614038,1.5623684210526314,2.021359649122807,8.742982456140352,7.671052631578948,7.976754385964912,0.0
L-BD10,local,gemma-3-27b,1,1,0,0,strict,0.0,1,0,569,569,14.394551845342706,4.15038033017113,11.693804920913884,11.312593365553603,12.106811291739893,-11.63756590509666,0.0,0.7747724382392427,collapse,0,3.530360281195079,4.174824561403508,4.317675438596491,5.385764499121265,4.554385964912281,4.4491228070175435,0.0
L-C01,local,qwen2.5-coder-32b,1,1,0,1,strict,0.0,1,0,570,570,5.753508771929824,4.521014782281749,20.28513157894737,19.829747807017544,20.743557017543854,-20.281622807017545,0.19473684210526315,0.6260173732735049,collapse,111,7.779736842105263,5.629122807017544,6.887236842105263,1.0166666666666666,3.0780701754385964,1.6587719298245613,0.0
